sku,stock,fecha
A242,0,2024-02-01
A242,0,2024-03-01
A242,0,2024-04-01
A242,0,2024-05-01
A242,0,2024-06-01
A242,0,2024-07-01
A242,0,2024-08-01
A242,0,2024-09-01
A242,0,2024-10-01
A242,0,2024-11-01
A242,0,2024-12-01
A243,0,2022-01-01
A243,0,2022-02-01
A243,0,2022-03-01
A243,0,2022-04-01
A243,0,2022-05-01
A243,0,2022-06-01
A243,0,2022-07-01
A243,0,2022-08-01
A243,0,2022-09-01
A243,0,2022-10-01
A243,0,2022-11-01
A243,0,2022-12-01
A243,0,2023-01-01
A243,0,2023-02-01
A243,0,2023-03-01
A243,0,2023-04-01
A243,0,2023-05-01
A243,0,2023-06-01
A243,0,2023-07-01
A243,0,2023-08-01
A243,0,2023-09-01
A243,0,2023-10-01
A243,0,2023-11-01
A243,0,2023-12-01
A243,0,2024-01-01
A243,0,2024-02-01
A243,0,2024-03-01
A243,0,2024-04-01
A243,0,2024-05-01
A243,0,2024-06-01
A243,0,2024-07-01
A243,0,2024-08-01
A243,0,2024-09-01
A243,0,2024-10-01
A243,0,2024-11-01
A243,0,2024-12-01
A244,0,2022-01-01
A244,0,2022-02-01
A244,0,2022-03-01
A244,0,2022-04-01
A244,0,2022-05-01
A244,0,2022-06-01
A244,0,2022-07-01
A244,0,2022-08-01
A244,0,2022-09-01
A244,0,2022-10-01
A244,0,2022-11-01
A244,0,2022-12-01
A244,0,2023-01-01
A244,0,2023-02-01
A244,0,2023-03-01
A244,0,2023-04-01
A244,0,2023-05-01
A244,0,2023-06-01
A244,0,2023-07-01
A244,0,2023-08-01
A244,0,2023-09-01
A244,0,2023-10-01
A244,0,2023-11-01
A244,0,2023-12-01
A244,0,2024-01-01
A244,0,2024-02-01
A244,0,2024-03-01
A244,0,2024-04-01
A244,0,2024-05-01
A244,0,2024-06-01
A244,0,2024-07-01
A244,0,2024-08-01
A244,0,2024-09-01
